Customer_ID,Customer_Name,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Balance,Days_Outstanding,Status,Cost_Center,Region
CUST001,Woolworths Group Ltd,INV-2026-0234,2026-02-05,2026-03-05,1245000.00,1245000.00,0.00,0,Paid,NSW,New South Wales
CUST002,Coles Group Ltd,INV-2026-0235,2026-02-06,2026-03-06,987500.00,987500.00,0.00,0,Paid,VIC,Victoria
CUST003,Wesfarmers Ltd,INV-2026-0236,2026-02-07,2026-03-07,1567800.00,1567800.00,0.00,0,Paid,WA,Western Australia
CUST004,BHP Group,INV-2026-0237,2026-02-08,2026-03-08,2345000.00,2345000.00,0.00,0,Paid,VIC,Victoria
CUST005,Commonwealth Bank,INV-2026-0238,2026-02-09,2026-03-09,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST006,Telstra Corporation,INV-2026-0239,2026-02-10,2026-03-10,1234500.00,1234500.00,0.00,0,Paid,VIC,Victoria
CUST007,Rio Tinto,INV-2026-0240,2026-02-11,2026-03-11,1987600.00,1987600.00,0.00,0,Paid,WA,Western Australia
CUST008,Westpac Banking Corp,INV-2026-0241,2026-02-12,2026-03-12,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST009,ANZ Banking Group,INV-2026-0242,2026-02-13,2026-03-13,654300.00,654300.00,0.00,0,Paid,VIC,Victoria
CUST010,National Australia Bank,INV-2026-0243,2026-02-14,2026-03-14,543200.00,543200.00,0.00,0,Paid,VIC,Victoria
CUST011,Qantas Airways,INV-2026-0244,2026-02-15,2026-03-15,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST012,Woodside Energy,INV-2026-0245,2026-02-16,2026-03-16,876500.00,876500.00,0.00,0,Paid,WA,Western Australia
CUST013,Fortescue Metals,INV-2026-0246,2026-02-17,2026-03-17,1234500.00,1234500.00,0.00,0,Paid,WA,Western Australia
CUST014,Macquarie Group,INV-2026-0247,2026-02-18,2026-03-18,567800.00,567800.00,0.00,0,Paid,NSW,New South Wales
CUST015,CSL Limited,INV-2026-0248,2026-02-19,2026-03-19,987600.00,987600.00,0.00,0,Paid,VIC,Victoria
CUST016,Transurban Group,INV-2026-0249,2026-02-20,2026-03-20,345600.00,345600.00,0.00,0,Paid,VIC,Victoria
CUST017,Scentre Group,INV-2026-0250,2026-02-21,2026-03-21,234500.00,234500.00,0.00,0,Paid,NSW,New South Wales
CUST018,Goodman Group,INV-2026-0251,2026-02-22,2026-03-22,456700.00,456700.00,0.00,0,Paid,NSW,New South Wales
CUST019,Brambles Limited,INV-2026-0252,2026-02-23,2026-03-23,678900.00,678900.00,0.00,0,Paid,NSW,New South Wales
CUST020,Sonic Healthcare,INV-2026-0253,2026-02-24,2026-03-24,345600.00,345600.00,0.00,0,Paid,NSW,New South Wales
CUST021,Cochlear Limited,INV-2026-0254,2026-02-25,2026-03-25,234500.00,200000.00,34500.00,3,Partial,NSW,New South Wales
CUST022,ResMed Inc,INV-2026-0255,2026-02-26,2026-03-26,456700.00,0.00,456700.00,2,Outstanding,NSW,New South Wales
CUST023,Aristocrat Leisure,INV-2026-0256,2026-02-27,2026-03-27,567800.00,0.00,567800.00,1,Outstanding,NSW,New South Wales
CUST024,Ramsay Health Care,INV-2026-0257,2026-02-28,2026-03-28,345600.00,0.00,345600.00,0,Outstanding,VIC,Victoria
CUST025,Amcor PLC,INV-2026-0258,2026-01-15,2026-02-15,876500.00,800000.00,76500.00,13,Overdue,VIC,Victoria
CUST026,Newcrest Mining,INV-2026-0259,2026-01-20,2026-02-20,1234500.00,1100000.00,134500.00,8,Overdue,NSW,New South Wales
CUST027,South32 Limited,INV-2026-0260,2026-01-25,2026-02-25,987600.00,900000.00,87600.00,3,Overdue,WA,Western Australia
CUST028,Incitec Pivot,INV-2026-0261,2026-01-10,2026-02-10,654300.00,0.00,654300.00,18,Overdue,QLD,Queensland
CUST029,Orica Limited,INV-2026-0262,2026-01-12,2026-02-12,543200.00,0.00,543200.00,16,Overdue,VIC,Victoria
CUST030,BlueScope Steel,INV-2026-0263,2026-01-18,2026-02-18,432100.00,0.00,432100.00,10,Overdue,NSW,New South Wales
CUST031,Dexus Property,INV-2026-0264,2026-02-01,2026-03-01,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST032,GPT Group,INV-2026-0265,2026-02-02,2026-03-02,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST033,Stockland Corporation,INV-2026-0266,2026-02-03,2026-03-03,987600.00,987600.00,0.00,0,Paid,NSW,New South Wales
CUST034,Mirvac Group,INV-2026-0267,2026-02-04,2026-03-04,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST035,Charter Hall Group,INV-2026-0268,2026-02-05,2026-03-05,543200.00,543200.00,0.00,0,Paid,NSW,New South Wales
CUST036,APA Group,INV-2026-0269,2026-02-06,2026-03-06,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST037,Aurizon Holdings,INV-2026-0270,2026-02-07,2026-03-07,765400.00,765400.00,0.00,0,Paid,QLD,Queensland
CUST038,Sydney Airport,INV-2026-0271,2026-02-08,2026-03-08,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST039,Auckland Airport,INV-2026-0272,2026-02-09,2026-03-09,987600.00,0.00,987600.00,19,Outstanding,,,
CUST040,Spark New Zealand,INV-2026-0273,2026-02-10,2026-03-10,654300.00,0.00,654300.00,18,Outstanding,,,
CUST041,Fisher & Paykel Healthcare,INV-2026-0274,2026-01-05,2026-02-05,1876500.00,1800000.00,76500.00,23,Overdue,,,
CUST042,a2 Milk Company,INV-2026-0275,2026-01-08,2026-02-08,1234500.00,0.00,1234500.00,20,Overdue,,,
CUST043,Xero Limited,INV-2026-0276,2026-02-11,2026-03-11,543200.00,543200.00,0.00,0,Paid,,,
CUST044,Afterpay (Block Inc),INV-2026-0277,2026-02-12,2026-03-12,432100.00,0.00,432100.00,16,Outstanding,VIC,Victoria
CUST045,Atlassian Corporation,INV-2026-0278,2026-02-13,2026-03-13,2345000.00,2345000.00,0.00,0,Paid,NSW,New South Wales
CUST046,Canva Pty Ltd,INV-2026-0279,2026-02-14,2026-03-14,1567800.00,0.00,1567800.00,14,Outstanding,NSW,New South Wales
CUST047,Zip Co Limited,INV-2026-0280,2026-02-15,2026-03-15,876500.00,0.00,876500.00,13,Outstanding,NSW,New South Wales
CUST048,Tyro Payments,INV-2026-0281,2026-02-16,2026-03-16,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST049,Afterpay Touch Group,INV-2026-0282,2026-01-20,2026-02-20,987600.00,900000.00,87600.00,8,Overdue,VIC,Victoria
CUST050,WiseTech Global,INV-2026-0283,2026-02-17,2026-03-17,1234500.00,1234500.00,0.00,0,Paid,NSW,New South Wales
